der Einsatz, commitment / mission 
to sing,singen
to laugh,lachen
to cry,weinen
to begin,beginnen
to end,enden
to start,anfangen
to finish,beenden
to win,gewinnen
to lose,verlieren
to send,schicken
to receive,erhalten
to call,anrufen
to answer,antworten
to ask,fragen
to wait,warten
to hope,hoffen
to wish,wünschen
to wear,tragen
to put on,anziehen
to take off,ausziehen
to wash,waschen
to clean,putzen
to cook,kochen
to prepare,zubereiten
to love,lieben
to like,mögen
to hate,hassen
to remember,sich erinnern
to forget,vergessen
to enter,eintreten
Fremdsprache,foreign language (f)
Die Freundschaft,friendship
Ihr seid einfach die Bestern,You are just the best
Der Beruf,profession
zuverlässig,reliable
erledigte,did
Er erledigte seine Aufgaben zuverlässig,He did his job reliably
Das Wohnen,Habitation
der / das Kundenservice,Customer service
Die Zukunft,future
Bald wird in fast jedem Haushalt ein PC stehen,There will soon be a PC in almost every household
Bald,Soon
Fast,Almost
Der Haushalt,Household
Das Einladung,Invitation
Fühlen sie sich wie zu Hause,Make yourself at home
fühlen,feel
Die Beratung,Advice
Kann ich Ihnen helfen?,Can I help you?
Berufsfindung,Job search
Der Beruf,profession
das Gesundheit,Health
Sport trägt zu einem größeren Wohlbefinden bei,Sport contributes to greater well-being
tragen,to wear, to carry, bear, contribute
Das Wohlbefinden,Well-being
verpasste gelegenheite,missed opportunities
verpassen,miss, lose
Die Gelegenheit,opportunity
Hatte ich das bloß anders gemacht!,Had I just do it differently!
Glücksmoment,Moment of happiness
Nachdem wir jahrelang Pech gehabt hatten,After years of bad luck
das Pech,Bad luck
der Betrieb,Business, operation, enterprise
Feiern im Betrieb,Celebrations at work
Die Sprache,Language
Aus diesem Grund gab es ein Missverständnis,Because of this, there was a misunderstanding
der Grund,Reason
Auf diesem Grund,For this reason
das Missverständnis,Misunderstanding
die Weiterbildung,Continuing eduction, further education
Die Teilnahme ist auf eigene Gefahr,Participation is at your own risk
die Teilnahme,Participation
die Gefahr,Danger, risk
die Bewerbung,Application
Schön, dass sie da sind,Nice to have you here
Danke für die Einladung,Thanks for having me
Jugend und Erinnerungen,youth and memories
der Junge,Boy
die Jugend,Youth
die Erinnerung,memory
Wir brauchen uns um nichts zu kümmern,We don't have to worry about anything
brauchen,to need, require
die Biographie,The biography
Guck Mal! Das ist schon!,Have a look! Thats nice!
Guck Mal,Have a look
gucken,look at
Politik und Gesellschaft,Politics and society
die Gesellschaft,society
Davon hatte ich nicht viel,I didn't have much of that
Davon,Of that, whereof
der Tourismus,tourism
regeln,to regulate
Die anderen werden es die danken,The others will thank you
Konzerte und Veranstaltungen,Concerts and events
das Konzert,Concert
die Veranstaltung,Event
Vorher muss natürlich fleißig geübt werden,Of course, you have to practice diligently beforehand
vorher,before, beforehand, previously
fleißig,hard-working, diligently
geübt werden,be practiced
üben,to practice, exercise
geübt,practiced
Umwelt und Klima,Environment and climate
die Umwelt,Environment
das Klima,Climate
Zukunftsvisionen,Future visions
Das lost mehrere probleme auf einmal,This solves several problems at once
Mehrere,Several
Auf einmal,At once, suddenly
der Inhalt,content
das Wortfeld,lexical field
Charaktereigenschaften,character traits
die Charaktereigenschaft,character trait
führen,to lead
ohne,without
die Vorkenntnis,prior knowledge
jeweils,respectively
jeweil,each
das Sprachniveau,the language level
gemeinsamen,common
Europäischen,European
Referenzrahmens,Frame if reference
gängigen,common, popular
Prüfungen,Exams
die Prüfung,Test
Möchten,Would like
kennenlernen,to get to know
Was möchten Sie wissen?,What do you want to know?
Notieren,to note down
jeweils,respectively
Antwortmöglichkeiten,Answer options
das Alter,Age
Lieblingsstadt,favorite city
die Stadt,City
Pläne,plans
der Plan,the plan
Träume,dreams
der Traum,the dream
Was macht ihr am liebsten in ihrer Freizeit?,What is your favorite thing to do in your free time?
Waren sie schon mal in Deutschland?,Have you ever been to Germany?
Ich war einige Male in Deutschland.,I was in Germany few times
Ich fahre regelmäßig nach Deutschland.,I go to Germany regularly
Ich war einmal in Deutschland.,I was once in Deutschland
Was ist dein Beruf?,What is your occupation?
Ich bin Finanzspezialist,I am finance specialist
Ich bin ein Buchhalter,I am an accountant
Ich bin Barkeeper,I am a bartender
Lebst du in dieser Stadt?,Do you live in this city?
Ja, ich bin hier geboren,Yes, I was born here.
Ja, ich bin vor vier Jahren in diese Stadt gezogen,Yes, I moved to this city four years ago
Nein, ich bin hier für einen zweiwöchigen Auftrag.,No, I here for a two weeks assignment.
der Auftrag,assignment
meinen,to mean, think
wer,who
die Person,person
feiern,celebrate
Die Personen auf dem Foto scheinen eine Familie zu sein,The people on the photo seem to be a family
Sie feiern ein Familienfest. Kann ein Geburtstag oder Abschluss einer jüngeren Tochter sein.,They are celebrating some family event. May be a birthday or graduation of a younger daughter.
der Abschluss,Close, completion (e.g. degree)
jünger,younger (comparative)
einschenken,pour
Den Sekt aufmachen,To open a champaigne
ihr wundert euch sicher,You are proably wondering
Ich wundere mich,I wonder
der Abschied,Taking leave
vergangen,past, last
das Färben,the coloring
vernünftig,reasonable
großzügig,generous
fair,fair
klug,clever
frech,cheeky, naughty
kreative,creative
sparsam,thrifty
realistisch,realistic
hübsch,pretty, handsome
aufmerksam,attentive
mutig,brave, courageous
nervös,nervous, anxious
kritisch,critical
treu,loyal
ernst,serious
größtenteils,for the most part
tauschen,to exchange, to swap
passen,to fit, suit, match
letzten,last, previous
besonders,especially, particularly
wichtig,important, significant
beste Freundin,best friend
die Großmutter,grandmother
der Kollege,colleague
die Mitbewohnerin,female roommate
die Nachbarin,female neighbor
die Nichte,niece
der Professor,professor
die Tochter,daughter
Tochter vom Nachbarn,neighbor's daughter
vergleichen,to compare
die Münze,coin
der Ausflug,the trip
aufgeben,to give up
erfolgreich,successful
folgend,following
der Verlauf,the course, development (e.g. of the events)
betreten,to enter, access
der Turm,the tower
die Kerze,the Candle
anmachen,to turn on / to light / to put on / to chat up / to drive wild
leise,quietly
anzünden,to light, to set on fire
das Geschirr,the dishes
spülen,to wash the dishes
bügelen,to iron
schneiden,to cut
wegwerfen,to throw away
der Wecker,the alarm clock
leider,unfortunately
dauern,to last
erholen,to recover; to rest
schalen,to peel
der Kuchen,the cake
die Zukunft,the future
bestimmte,particular
die Zutat,the ingredient
die Würfel,dice, cubes
hacken,to chop
die Pfanne,the pan
dazutun,to add
schlagen,hit (e.g. sour cream)
giessen,to pour water
streuen,sprinkle
würzen,Spice up
das Gericht,the course / the disch
buntstifte,colored pencils
hässlich,ugly
dazulegen,to add
anschließend,afterwards, subsequently
kriegen,to get, obtain
müde,tired
verschtecken,hide
seltsam,strange, odd
teilnehmen,to participate
berichten,to report, tell
die Auskunft,information, advice
neugierig,curious
Jura,law (as a field of study)
befristete,temporary
Krankenkasse,health insurance
nutzlos,useless; pointless
zuverlässig,reliable
riechen,smell
anfassen,to touch, grab
die Entwicklung,development, evolution
die Reihenfolge,Sequence/Chronological Order
Allgemein,in general
Am häufigsten,mostly
häufiger,more often
der Zoll,the customs checkpoint
die Tastatur,keyboard, keypad
dringend,urgent, urgently
herunterladen,to download (not 'downloaden,' 'laden')
heruntergeladen,downloaded
zeichnen,draw
eigentlich,actually
Häufig,frequently
sich häufig treffen,to meet frequently
ehrlich,honestly
sogar,even
mutig,brave
schlank,slim, slender
klug,clever
stark,strong
ziemlich,quite, fairly
gemütlich,comfortable
langweilig,boring
nett,nice
spannend,exciting
abwechslungsreich,diversified, varied
die Anzeige,advertisement, ad
geschieden,divorced, separated
Sonderangebot das,special offer
das Verkehrsschild,the traffic sign
Verlustanzeige,the loss notice
die Sehenswürdigkeiten,sightseeing places
unbedingt,absolutely
glücklich,happy
die Gier,greed
die Angst,fear
die Armut,poverty
säuerlich,sour
prickelnd,sparkling
gefährlich,dangerous
schiessen,to shoot
das Hochwasser,flood
eifersüchtig,jealous
entscheiden sich,to decide
ruhig,quiet
niemals,never ever
das Lachen,the laugh
Das Abenteuer,adventure
irgendwo,somewhere, anywhere
ungewöhnliche,unusual
weinen,to cry
leidgetan,got disappointed
teilen,to share
sterben,to die
gestorben,died
streng,stric
sogar,even
merken,to notice
wiedersehen,see you again
Damals,at that time
wieder,again
zu viert,the four of us
ehemalige,former, ex-
ungewöhnliche,unusual
der Wohnheim,dormitory
Weit,far
Selbständig,self employed
Dadurch dass ...,as result of ...
empfehlen,recommend
ankommen,to arrive
Die Tüte,the bag (plastic or paper shopping bag)
die Eisdiele,ice cream stall
abholen,to pick up, collect
die Ampel,the Traffic light
das Tor,the gate
die Bushaltestelle,the bus stop
zeichnen,to draw
der Radweg,the bike path
abfliegen,to depart
ankommen,to arrive
Der Abflug,the takeoff (plane)
das Gepäck,the baggage
die Entscheidung,the decision
der Anfang,the beginning
die Abreise,the departure
unbedingt,necessarily, unconditionally
notwendig,necessary, essential
der Zettel,the note
verbinden,to connect
gerade,straight
besetzt,occupied
die Vorbereitung,the preparation
die Wirtschaftsuniversität,university of economics
wechseln,to change
die Folge,the season of TV series
die Notaufnahme,the emergency department
sich Sorgen machen,to worry
bluten,to bleed
sich stossen,to hit (a head)
die Feuerwehr,fire service
bewusstlos,unconscious
stürzen,to fall
sich verletzen,to injure oneself
der Verband,the bandage
zerbrechen,to destroy
brechen,to break
die Lungenentzündung,the pneumonia
die Operation,the surgery
die Krankheit,the illness
das Gehirn,the brain
das Redemittel,mean of speech
wütend,angry
der Husten,the cough
die Brust,the cheast
verletzen,to injure
das Bein,the leg
der Notruf,the emergency call
die Anfrage,the request
erfolglos,unsuccessful
erreichbar,reachable
der Erfolg,the success
ansprechbar,responsive
gestürzt,fell
weh tun,to hurt
die Gehirnerschütterung,concussion
manche,some
niessen,to sneeze
das Hals,the neck
der Mund,the mouth
merkwürdig,unusual, strange
abhängig,dependent
die Beziehung,relationship
sich einigen,to reach an agreement
berufstätig,working / occupied
verdienen,to earn
Der Abteilungsleiter,department head
sammeln,to collect
der Vorteil,advantage
der Nachteil,the disadvantage,
nennen,to name (e.g. a baby or name 3 examples)
die Lüge,the lie
lügen,to lie
sauer,1) sour 2) annoyed
streiten,argue
einsam,lonely
kündigen,to quit (a contract, a job)
gewöhnen (sich),to get used to
überraschen,to surprise
eng,close
absagen,to cancel
vertrauen,to trust
das Vertrauen,confidence
trotzdem,nevertheless
die Trennung,separation
abhängig,dependent
merkwürdig,strange
treu,loyal (faithful)
verrückt,crazy
kümmern sich,to take care
verabreden,to arrange (a meeting)
vereinbaren,to arrange something with someone
das Aussehen,the appearance (look)
das Verhalten,behaviour
aufwenden,to spend (something) for (something)
entweitern,to expand
betreffen,to concern
einandern,each other
faul,lazy
fleissig,hard-working
unordentlich,messy / untidy
treu,faithful (e.g. faithful to someone)
höflich,polite
schwach,weak
angenehm,pleasant
aufräumen,to tidy up
fröhlich,cheerful
glücklich,happy
zufrieden,contented / satisfied
kaum,hardly / badly
unabhängig,independent
ausserdem,besides
reden,talk (to someone)
vergleichen,to compare
die Eigenschaft,quality / characteristic
entschliessen,to decide / to make mind
das Gerüst,scaffolding
der Himmel,the sky
der Frühlig,the spring
tief,deep
das Gewitter,the storm
verdienen,to earn
die Behandlung,treatment (e.g. of people)
sollte,should
der Ratschlag,the advice
beraten,to advise
wütend,angry
ungewöhnliche,unusual
Gewürze,spices
empfehlen,to recommend
berühmt,famous
häufig,often
Der Knoblauch,garlic
der Essig,vinegar
verändern,to change
die Forderung,the requirement
Anforderungen,requirements
notwendig,necessary
die Erfahrung,experience
jeweiligen,relevant
erforderlich,required
erwerben,to acquire something
anschließend,afterward
anspruchsvolle,demanding
aufregend,exciting
gemütlich,comfortable,
Das Ergebnis,result
beraten,to advice
sinnlos,pointless
die Auswahl,the selection
empfehlen,to recommend
sehen,see
gucken,look
beobachten,to observe,
sehr genau,very closely
verbringen,to spend
anfassen,to touch (a book before buying)
berühren,to touch (a human)
liefern,to deliver (a package to the door)
unterhalten sich,to chat
sich erschrecken,to get scared
die Wahlen,elections
egal,regardless
bummeln,window shopping (watching not buying) or buying a present
versammeln,to gather
der Lärm,the noise
breit,wide
gemütlich,comfy / cozy
unter der Woche,during the week
die Auswahl,selection / choice (e.g. of clothes in the store)
folgenden,the following
vorschlagen,to suggest
die Entscheidung,the decision
der Bescheid,a notice (to give someone a notice or notification)
entscheiden,to decide
verschreiben,to postpone
verschenken,to give away
das Gehalt,the salary
der Aufzug,the elevator
das Gerät,the device
erreichen,to reach
sich Sorgen machen,to worry
schwanger,pregnant
die Laune,the mood
basteln,craft
sich vorstellen,imagine / to introduce
die Zusage,acceptance (as an rsvp) / promise / commitment
Absage,cancellation
Glückwunsch,congratulations
Besser spät als gar,better late than never
das Abitur,high school diploma
das Besteck,cutlery
das Gerät,device
erfahrene,experienced
decken,to set a table
abdecken,to cover the person
zudecken,to cover the furniture
aufdecken,to uncover the table
schiefgehen,to go wrong
verantwortlich,responsible
der Vorschlag,suggestion
das Festzelt,the festival tent
der Gewitter,thunderstorm
mitteilen,to inform
überrascht,surprised
reden,to talk or to speak (verbally eg during the party)
sich unterhalten,talk (chat for entertainment)
unterhalten,to entertain
fröhlich,cheerful
ausleihen,to borrow
die Bühne,scene
werfen,to throw
das Zelt,the tent
auftreten,to perform (e.g. in front of public)
der Hügel,the hill
tauchen,to dive
leeren,to pour
überlegen,to think (about something) / consider
auswandern,to emigrate
die Brücke,the bridge
die Hoffnung,the hope
besetzt (sein),occupied
die Durchwahl,extension (in a telephone number)
der Einstufungstest,placement test
wenigstens,at least
aus Neugier,out of curiosity
allerdings,though
statt,instead of
zunehmend,increasingly
die Lockerung,the easing (e.g. of the rules)
egal,same / irrelevant
beschleunigen,to accelerate
verfolgen,to pursue
der Rückschlag,the setback
unterhaltsam,entertaining
hinkriegen,to get something done / to manage something
die Beratung,the consultation / giving expert advice
sich aufregen,to get angry / worked up
sich bedienen,to help oneself
sich beruhigen,to calm oneself down
sich beschäftigen mit,to deal with / to occupy oneself with / to get engaged into something
stundenlang,for hours
das Unternehmen,the company (i.e. business)
die Unannehmlichkeiten,the inconvenience
sich hinlegen,to lay down
die Anwesenheit,the presence
aufmerksam,attentive
tauschen,exchange / swap
der Besitzer (rin),owner
das Besitz,ownership (possession / physical control)
besitzen,to own (e.g. a car)
die Eigentum,property / legal ownership or entitlement
der Führerschein,driving license
anbieten,to offer (something to someone)
aufhören,terminate
raten,to guess
versprechen,to promise
die Leiter,the ladder
Gelassenheit,calmness
sanft,gentle
weich,soft
unbeholfen,clumsy / awkward
beeindrucken,to impress
das Maul,mouth
nüchtern,sober
Dienstleistung,service
gegenseitig,mutual
mitmachen,join inmerkwürdig,unusual, strange
abhängig,dependent
die Beziehung,relationship
sich einigen,to reach an agreement
berufstätig,working / occupied
verdienen,to earn
Der Abteilungsleiter,department head
sammeln,to collect
der Vorteil,advantage
der Nachteil,the disadvantage,
nennen,to name (e.g. a baby or name 3 examples)
die Lüge,the lie
lügen,to lie
sauer,1) sour 2) annoyed
streiten,argue
einsam,lonely
kündigen,to quit (a contract, a job)
gewöhnen (sich),to get used to
überraschen,to surprise
eng,close
absagen,to cancel
vertrauen,to trust
das Vertrauen,confidence
trotzdem,nevertheless
die Trennung,separation
abhängig,dependent
merkwürdig,strange
treu,loyal (faithful)
verrückt,crazy
kümmern sich,to take care
verabreden,to arrange (a meeting)
vereinbaren,to arrange something with someone
das Aussehen,the appearance (look)
das Verhalten,behaviour
aufwenden,to spend (something) for (something)
entweitern,to expand
betreffen,to concern
einandern,each other
faul,lazy
fleissig,hard-working
unordentlich,messy / untidy
treu,faithful (e.g. faithful to someone)
höflich,polite
schwach,weak
angenehm,pleasant
aufräumen,to tidy up
fröhlich,cheerful
glücklich,happy
zufrieden,contented / satisfied
kaum,hardly / badly
unabhängig,independent
ausserdem,besides
reden,talk (to someone)
vergleichen,to compare
die Eigenschaft,quality / characteristic
entschliessen,to decide / to make mind
das Gerüst,scaffolding
der Himmel,the sky
der Frühlig,the spring
tief,deep
das Gewitter,the storm
verdienen,to earn
die Behandlung,treatment (e.g. of people)
sollte,should
der Ratschlag,the advice
beraten,to advise
wütend,angry
ungewöhnliche,unusual
Gewürze,spices
empfehlen,to recommend
berühmt,famous
häufig,often
Der Knoblauch,garlic
der Essig,vinegar
verändern,to change
die Forderung,the requirement
Anforderungen,requirements
notwendig,necessary
die Erfahrung,experience
jeweiligen,relevant
erforderlich,required
erwerben,to acquire something
anschließend,afterward
anspruchsvolle,demanding
aufregend,exciting
gemütlich,comfortable,
Das Ergebnis,result
beraten,to advice
sinnlos,pointless
die Auswahl,the selection
empfehlen,to recommend
sehen,see
gucken,look
beobachten,to observe,
sehr genau,very closely
verbringen,to spend
anfassen,to touch (a book before buying)
berühren,to touch (a human)
liefern,to deliver (a package to the door)
unterhalten sich,to chat
sich erschrecken,to get scared
die Wahlen,elections
egal,regardless
bummeln,window shopping (watching not buying) or buying a present
versammeln,to gather
der Lärm,the noise
breit,wide
gemütlich,comfy / cozy
unter der Woche,during the week
die Auswahl,selection / choice (e.g. of clothes in the store)
folgenden,the following
vorschlagen,to suggest
die Entscheidung,the decision
der Bescheid,a notice (to give someone a notice or notification)
entscheiden,to decide
verschreiben,to postpone
verschenken,to give away
das Gehalt,the salary
der Aufzug,the elevator
das Gerät,the device
erreichen,to reach
sich Sorgen machen,to worry
schwanger,pregnant
die Laune,the mood
basteln,craft
sich vorstellen,imagine / to introduce
die Zusage,acceptance (as an rsvp) / promise / commitment
Absage,cancellation
Glückwunsch,congratulations
Besser spät als gar,better late than never
das Abitur,high school diploma
das Besteck,cutlery
das Gerät,device
erfahrene,experienced
decken,to set a table
abdecken,to cover the person
zudecken,to cover the furniture
aufdecken,to uncover the table
schiefgehen,to go wrong
verantwortlich,responsible
der Vorschlag,suggestion
das Festzelt,the festival tent
der Gewitter,thunderstorm
mitteilen,to inform
überrascht,surprised
reden,to talk or to speak (verbally eg during the party)
sich unterhalten,talk (chat for entertainment)
unterhalten,to entertain
fröhlich,cheerful
ausleihen,to borrow
die Bühne,scene
werfen,to throw
das Zelt,the tent
auftreten,to perform (e.g. in front of public)
der Hügel,the hill
tauchen,to dive
leeren,to pour
überlegen,to think (about something) / consider
auswandern,to emigrate
die Brücke,the bridge
die Hoffnung,the hope
besetzt (sein),occupied
die Durchwahl,extension (in a telephone number)
der Einstufungstest,placement test
wenigstens,at least
aus Neugier,out of curiosity
allerdings,though
statt,instead of
zunehmend,increasingly
die Lockerung,the easing (e.g. of the rules)
egal,same / irrelevant
beschleunigen,to accelerate
verfolgen,to pursue
der Rückschlag,the setback
unterhaltsam,entertaining
hinkriegen,to get something done / to manage something
die Beratung,the consultation / giving expert advice
sich aufregen,to get angry / worked up
sich bedienen,to help oneself
sich beruhigen,to calm oneself down
sich beschäftigen mit,to deal with / to occupy oneself with / to get engaged into something
stundenlang,for hours
das Unternehmen,the company (i.e. business)
die Unannehmlichkeiten,the inconvenience
sich hinlegen,to lay down
die Anwesenheit,the presence
aufmerksam,attentive
tauschen,exchange / swap
der Besitzer (rin),owner
das Besitz,ownership (possession / physical control)
besitzen,to own (e.g. a car)
die Eigentum,property / legal ownership or entitlement
der Führerschein,driving license
anbieten,to offer (something to someone)
aufhören,terminate
raten,to guess
versprechen,to promise
die Leiter,the ladder
Gelassenheit,calmness
sanft,gentle
weich,soft
unbeholfen,clumsy / awkward
beeindrucken,to impress
